year,category,height_average_1,height_standard deviation_2,body weight _average_3,body weight _standard deviation_4
5,national,110.1,4.86,19,2.74
5,Hokkaido,110.1,4.9,18.9,2.98
5,Aomori,111,4.95,19.5,2.98
5,Iwate,110.6,4.72,19.3,2.91
5,Miyagi,110.6,4.91,19.5,2.88
5,Akita,111.9,4.99,19.6,2.94
5,Yamagata,110.4,4.85,19,2.84
5,Fukushima,110.3,4.92,19.3,3.13
5,Ibaraki,110.1,4.7,19.3,3.11
5,Tochigi,110,5.04,19,2.82
5,Gunma,110.5,5.26,19.5,3.4
5,Saitama,109.9,4.84,19,2.69
5,Chiba,110.3,4.7,19.1,2.78
5,Tokyo,110,4.63,18.8,2.41
5,Kanagawa,110,4.85,19,2.7
5,Niigata,110.5,5.16,19,2.91
5,Toyama,110.9,5.03,19.3,2.87
5,Ishikawa,111.2,5.2,19.2,3.02
5,Fukui,111.5,5.28,19.1,2.82
5,Yamanashi,109.5,5.11,18.8,2.78
5,Nagano,110.3,4.82,18.7,2.65
5,Gifu,109.8,4.97,18.8,2.6
5,Shizuoka,110.3,4.92,19,2.95
5,Aichi,109.8,4.73,18.7,2.64
5,Mie,110.2,4.86,18.9,2.57
5,Shiga,109.8,4.86,18.8,2.58
5,Kyoto,110.6,4.92,18.8,2.5
5,Osaka,110.2,4.74,18.9,2.59
5,Hyogo,110.2,5.03,18.9,2.73
5,Nara,109.9,4.79,18.7,2.56
5,Wakayama,109.4,4.61,18.6,2.54
5,Tottori,109.9,4.57,18.7,2.46
5,Shimane,110.7,4.98,19.1,2.92
5,Okayama,110.1,4.66,18.7,2.52
5,Hiroshima,110.6,5.07,19.2,2.82
5,Yamaguchi,110.5,5.11,19.1,2.88
5,Tokushima,109.5,4.42,19,2.59
5,Kagawa,109.9,4.46,19.1,2.56
5,Ehime,110.1,5.08,19.1,2.8
5,Kochi,109.4,4.91,18.8,2.72
5,Fukuoka,109.7,5.08,18.9,2.7
5,Saga,109.8,4.57,19,2.61
5,Nagasaki,110.6,4.94,19.4,3.05
5,Kumamoto,109.7,4.77,18.8,2.83
5,Oita,110.2,5.02,18.9,2.8
5,Miyazaki,110.7,4.49,19.2,2.72
5,Kagoshima,109.4,4.97,18.9,2.72
5,Okinawa,109.4,4.68,18.7,2.7
